City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bose,IT,45.4612,8.0137,74.79,60,70,5.39,broken clouds
80,Castro,BR,-24.7911,-50.0119,50.41,68,0,4.61,clear sky
81,Matay,EG,28.419,30.7792,86.32,25,0,7.81,clear sky
82,Payo,ID,-3.7508,103.6372,73.8,91,76,1.88,broken clouds
83,Torbay,CA,47.6666,-52.7314,61.29,88,100,8.05,light intensity drizzle
84,Bredasdorp,ZA,-34.5322,20.0403,53.94,82,100,5.95,overcast clouds
85,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,12.66,few clouds
86,Juba,SS,4.8517,31.5825,69.26,95,100,0.81,light rain
87,La Ronge,CA,55.1001,-105.2842,84.42,45,20,6.91,few clouds
88,Sioux Lookout,CA,50.1001,-91.917,71.67,40,20,5.75,few clouds
89,Quatre Cocos,MU,-20.2078,57.7625,68.11,65,86,16.53,overcast clouds
90,Beringovskiy,RU,63.05,179.3167,53.1,83,100,14.05,overcast clouds
91,Dalgopol,BG,43.05,27.35,73.78,47,18,4.25,few clouds
92,Korla,CN,41.7597,86.1469,85.41,29,48,16.67,scattered clouds
93,Senekal,ZA,-28.3197,27.6208,53.47,27,0,1.99,clear sky
94,Xining,CN,36.6167,101.7667,65.75,86,81,1.21,broken clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,94,100,23.02,mist
96,Bayburt,TR,40.2589,40.2278,59.77,91,4,1.19,clear sky
97,Pisco,PE,-13.7,-76.2167,62.65,77,20,9.22,few clouds
98,Bahia Honda,CU,22.9036,-83.1592,84.24,73,100,10.98,overcast clouds
99,Tual,ID,-5.6667,132.75,80.02,82,81,15.21,broken clouds
100,Isla Mujeres,MX,21.2311,-86.731,87.85,75,49,11.01,scattered clouds
101,Kampene,CD,-3.6,26.6667,74.68,35,81,1.52,broken clouds
102,Atambua,ID,-9.1061,124.8925,70.93,88,34,4.65,scattered clouds
103,Morro Bay,US,35.3658,-120.8499,98.73,40,28,10.0,scattered clouds
104,New Norfolk,AU,-42.7826,147.0587,42.71,83,97,1.05,overcast clouds
105,Klaksvik,FO,62.2266,-6.589,52.72,83,100,11.16,overcast clouds
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,60,99,28.34,overcast clouds
107,Sur,OM,22.5667,59.5289,89.67,58,100,5.86,overcast clouds
108,Hrodna,BY,53.6884,23.8258,60.46,82,8,7.27,clear sky
109,Alekseyevsk,RU,57.8406,108.3492,57.65,72,95,3.38,overcast clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,94.3,63,20,5.75,few clouds
111,Saint-Louis,SN,16.3333,-15.0,94.96,38,15,10.47,few clouds
112,Arman,RU,59.7,150.1667,57.02,91,98,1.28,overcast clouds
113,Kavaratti,IN,10.5669,72.642,80.96,83,26,20.67,scattered clouds
114,Tahta,EG,26.7693,31.5021,88.74,22,3,6.46,clear sky
