City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
319,Ponta Delgada,PT,74.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
321,Miri,MY,80.74,thunderstorm,4.4148,114.0089,"Mega Hotel, Miri"
323,Santa Maria Del Oro,MX,79.52,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
325,Pasaje,EC,78.51,overcast clouds,-3.3333,-79.8167,Finca Huaylala
326,Koutsouras,GR,81.1,clear sky,35.0339,25.9469,The White Houses
329,Bardiyah,LY,77.68,clear sky,31.7561,25.0865,بورتو بردية
341,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
346,Dingle,PH,75.56,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
347,Colon,PA,79.36,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
348,Daman,IN,79.29,overcast clouds,20.4167,72.85,Silver Sands Beach Resort
356,Shache,CN,82.71,overcast clouds,38.4167,77.2406,Delong Hotel
358,Ryotsu,JP,78.93,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
368,Weligama,LK,77.45,broken clouds,5.9667,80.4167,Weligama Bay Resort
369,Rottenburg,DE,70.09,overcast clouds,48.4763,8.9353,"Hotel garni Bad Café, ital. Restaurant"
371,Half Moon Bay,US,82.06,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
372,Carutapera,BR,79.09,broken clouds,-1.195,-46.02,Lidera
373,Tema,GH,75.54,overcast clouds,5.667,-0.0166,Beulah Royale Hotel Tema
374,Manavalakurichi,IN,78.62,overcast clouds,8.1333,77.3,Jebinrio home
377,Gigmoto,PH,80.1,overcast clouds,13.7796,124.39,Cj's Travellers Inn
378,Cururupu,BR,78.28,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
379,Biak,ID,76.08,overcast clouds,-0.9131,122.8766,Penginapan Kim
381,Ningxiang,CN,70.32,broken clouds,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
383,Manggar,ID,81.14,overcast clouds,-2.8833,108.2667,Guest Hotel
386,Mattru,SL,72.72,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
387,Kibala,TD,76.95,few clouds,9.1104,18.3463,Prasant Hotels
391,Namatanai,PG,79.68,light rain,-3.6667,152.4333,Seagulls Inn Namatani
393,Simoes,BR,83.68,clear sky,-7.5989,-40.8178,Hotel Ponto Certo
398,Tibiri,NE,73.8,light rain,13.5627,7.0485,FADA GAO FA TIBIRI
402,Addanki,IN,83.12,overcast clouds,15.8167,79.9833,Shanthi residency
404,San Quintin,MX,77.47,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
409,Touros,BR,76.95,few clouds,-5.1989,-35.4608,INN NEW HORIZON
